X_variable,Y_variable,Slope,Intercept,Class,Formula,R_squared,F_statistic,F_df_num,F_df_denom,F_pvalue,LR_chi2,LR_pvalue,LR_df
petal_length,sepal_width,0.2343481989708405,1.6728987993138928,virginica,sepal_width = 0.2343 * petal_length + 1.6729,0.16083675301605327,9.19983587522184,1.0,48.0,0.0038977040683383585,8.76750090797205,0.003066453170748389,1.0
petal_length,petal_width,0.20124509405873606,-0.048220327513872015,setosa,petal_width = 0.2012 * petal_length + -0.0482,0.10997848396374121,5.9312804636113095,1.0,48.0,0.01863891500753732,5.825482061326568,0.015795639124763616,1.0
petal_length,petal_width,0.33105360443622905,-0.08428835489833564,versicolor,petal_width = 0.3311 * petal_length + -0.0843,0.6188466815001422,77.93357494280323,1.0,48.0,1.2719157063236679e-11,48.227678702007495,3.7949359798139045e-12,1.0
petal_length,petal_width,0.1602969554030873,1.1360313036020577,virginica,petal_width = 0.1603 * petal_length + 1.1360,0.10375370275048623,5.556706618824518,1.0,48.0,0.02253576727987381,5.477000922906825,0.019268290294066102,1.0
petal_width,sepal_length,0.9301727306137487,4.777177508269017,setosa,sepal_length = 0.9302 * petal_width + 4.7772,0.07733869390569914,4.023423636553963,1.0,48.0,0.050526441763982514,4.0246530399228675,0.044839842082816994,1.0
petal_width,sepal_length,1.4263646800960232,4.044640434192672,versicolor,sepal_length = 1.4264 * petal_width + 4.0446,0.2986197027727229,20.43648187688676,1.0,48.0,4.0354215260679595e-05,17.735251615375518,2.538780729459695e-05,1.0
petal_width,sepal_length,0.6508305827606731,5.269417239326877,virginica,sepal_length = 0.6508 * petal_width + 5.2694,0.07902154414767615,4.118483005748676,1.0,48.0,0.04798149336918853,4.115931756301421,0.04248111844499405,1.0
petal_width,sepal_width,0.8371922087467861,3.2220507166482903,setosa,sepal_width = 0.8372 * petal_width + 3.2221,0.054173498793466,2.749265260350908,1.0,48.0,0.10382114330524526,2.7848064640325276,0.09516218910885131,1.0
petal_width,sepal_width,1.0536478446926214,1.3728629579375844,versicolor,sepal_width = 1.0536 * petal_width + 1.3729,0.4408943001936584,37.851387343441225,1.0,48.0,1.4666608142179507e-07,29.070836819584883,6.977952526022629e-08,1.0
petal_width,sepal_width,0.6314052269898814,1.694773010118501,virginica,sepal_width = 0.6314 * petal_width + 1.6948,0.28915143023213097,19.524930120735313,1.0,48.0,5.647610402287728e-05,17.064792695258518,3.612586389968916e-05,1.0
petal_width,petal_length,0.5464902609334819,1.3275633958103634,setosa,petal_length = 0.5465 * petal_width + 1.3276,0.10997848396374132,5.93128046361131,1.0,48.0,0.01863891500753732,5.825482061326568,0.015795639124763616,1.0
petal_width,petal_length,1.8693247051456001,1.7812754409769331,versicolor,petal_length = 1.8693 * petal_width + 1.7813,0.6188466815001423,77.93357494280332,1.0,48.0,1.2719157063236498e-11,48.22767870200752,3.794935979813849e-12,1.0
petal_width,petal_length,0.6472593474379095,4.240652562090799,virginica,petal_length = 0.6473 * petal_width + 4.2407,0.10375370275048623,5.556706618824514,1.0,48.0,0.022535767279873883,5.4770009229068535,0.019268290294065765,1.0
